V1,V2,V3,V4,V5,V6,V7,v60h,v60t,v60y,v60o,v24h,v24t,v24y,v24o
2016.01.04,00:00,177.04,177.245,177.04,177.183,323,177.04,177.245,177.04,177.183,177.04,177.245,177.04,177.183
2016.01.04,00:15,177.183,177.262,177.158,177.245,539,177.04,177.262,177.04,177.245,177.04,177.262,177.04,177.245
2016.01.04,00:30,177.245,177.284,177.227,177.268,330,177.04,177.284,177.04,177.268,177.04,177.284,177.04,177.268
2016.01.04,00:45,177.268,177.305,177.221,177.221,400,177.04,177.305,177.04,177.221,177.04,177.305,177.04,177.221
2016.01.04,01:00,177.223,177.296,177.21,177.284,827,177.223,177.296,0,177.284,177.04,177.305,177.04,177.284
2016.01.04,01:15,177.287,177.329,177.164,177.184,701,177.223,177.329,0,177.184,177.04,177.329,177.04,177.184
2016.01.04,01:30,177.182,177.293,177.158,177.183,1005,177.223,177.329,0,177.183,177.04,177.329,177.04,177.183
2016.01.04,01:45,177.183,177.28,177.147,177.276,737,177.223,177.329,0,177.276,177.04,177.329,177.04,177.276
2016.01.04,02:00,177.276,177.353,177.247,177.321,900,177.276,177.353,0,177.321,177.04,177.353,177.04,177.321
2016.01.04,02:15,177.32,177.32,177.234,177.291,786,177.276,177.353,0,177.291,177.04,177.353,177.04,177.291
2016.01.04,02:30,177.29,177.302,177.166,177.22,1010,177.276,177.353,0,177.22,177.04,177.353,177.04,177.22
2016.01.04,02:45,177.22,177.288,177.175,177.259,1299,177.276,177.353,0,177.259,177.04,177.353,177.04,177.259
2016.01.04,03:00,177.259,177.346,177.215,177.282,1282,177.259,177.346,0,177.282,177.04,177.353,177.04,177.282
2016.01.04,03:15,177.282,177.299,176.913,177.043,1953,177.259,177.346,0,177.043,177.04,177.353,176.913,177.043
2016.01.04,03:30,177.044,177.08,176.972,176.991,1152,177.259,177.346,0,176.991,177.04,177.353,176.913,176.991
2016.01.04,03:45,176.989,176.989,176.601,176.633,2089,177.259,177.346,0,176.633,177.04,177.353,176.601,176.633
2016.01.04,04:00,176.637,176.659,176.189,176.35,2187,176.637,176.659,0,176.35,177.04,177.353,176.189,176.35
2016.01.04,04:15,176.349,176.388,176.147,176.189,1757,176.637,176.659,0,176.189,177.04,177.353,176.147,176.189
2016.01.04,04:30,176.19,176.255,175.996,176.032,1725,176.637,176.659,0,176.032,177.04,177.353,175.996,176.032
2016.01.04,04:45,176.032,176.335,176.01,176.331,1242,176.637,176.659,0,176.331,177.04,177.353,175.996,176.331
2016.01.04,05:00,176.332,176.342,176.201,176.231,974,176.332,176.342,0,176.231,177.04,177.353,175.996,176.231
2016.01.04,05:15,176.23,176.271,176.197,176.268,775,176.332,176.342,0,176.268,177.04,177.353,175.996,176.268
2016.01.04,05:30,176.262,176.324,176.119,176.143,1239,176.332,176.342,0,176.143,177.04,177.353,175.996,176.143
2016.01.04,05:45,176.143,176.206,176.124,176.129,995,176.332,176.342,0,176.129,177.04,177.353,175.996,176.129
